,open,high,low,close,volume,time
1264,319.2700,319.3400,319.1300,319.2100,32787,2020-02-04 14:23:00
1265,319.2700,319.3400,319.1932,319.2600,25916,2020-02-04 14:22:00
1266,319.3000,319.3400,319.1900,319.2400,30090,2020-02-04 14:21:00
1267,319.2878,319.4000,319.2100,319.3000,47255,2020-02-04 14:20:00
1268,319.2301,319.3106,319.1700,319.2600,39044,2020-02-04 14:19:00
1269,319.2079,319.3500,319.1100,319.2500,43045,2020-02-04 14:18:00
1270,319.1500,319.2300,319.1400,319.1900,39017,2020-02-04 14:17:00
1271,319.3169,319.3169,319.1200,319.1700,52676,2020-02-04 14:16:00
1272,319.4100,319.4655,319.3134,319.3134,56793,2020-02-04 14:15:00
1273,319.6123,319.6300,319.4100,319.4351,53603,2020-02-04 14:14:00
1274,319.4200,319.6400,319.4014,319.6100,134909,2020-02-04 14:13:00
1275,319.2800,319.4500,319.2800,319.4290,53266,2020-02-04 14:12:00
1276,319.3000,319.3300,319.2200,319.2650,21502,2020-02-04 14:11:00
1277,319.3700,319.3700,319.1600,319.2779,30992,2020-02-04 14:10:00
1278,319.4356,319.4600,319.2700,319.3550,47661,2020-02-04 14:09:00
1279,319.2998,319.5000,319.2930,319.4300,40820,2020-02-04 14:08:00
1280,319.2800,319.3299,319.2200,319.2800,23866,2020-02-04 14:07:00
1281,319.3250,319.3800,319.2400,319.2899,28020,2020-02-04 14:06:00
1282,319.4300,319.4800,319.3100,319.3300,34874,2020-02-04 14:05:00
1283,319.3500,319.4300,319.3369,319.4150,60967,2020-02-04 14:04:00
1284,319.3017,319.3626,319.2045,319.3400,32978,2020-02-04 14:03:00
1285,319.2300,319.3112,319.1900,319.3000,23017,2020-02-04 14:02:00
1286,319.2700,319.3400,319.1600,319.2300,30118,2020-02-04 14:01:00
1287,319.2000,319.2900,319.1200,319.2700,45491,2020-02-04 14:00:00
1288,319.2800,319.3600,319.2000,319.2100,49070,2020-02-04 13:59:00
1289,319.2400,319.3900,319.2166,319.2500,56511,2020-02-04 13:58:00
1290,319.2368,319.3200,319.1800,319.2414,24513,2020-02-04 13:57:00
1291,319.3180,319.3300,319.1700,319.2350,25747,2020-02-04 13:56:00
1292,319.2229,319.3300,319.1700,319.3139,42478,2020-02-04 13:55:00
1293,319.1800,319.3000,319.1200,319.2300,56727,2020-02-04 13:54:00
1294,319.0800,319.2000,319.0650,319.1899,31180,2020-02-04 13:53:00
1295,319.1200,319.1500,318.9654,319.0712,35174,2020-02-04 13:52:00
1296,319.1775,319.1900,319.0500,319.1062,40381,2020-02-04 13:51:00
1297,319.1150,319.1800,319.0300,319.1800,28807,2020-02-04 13:50:00
1298,319.0450,319.1168,319.0300,319.1101,32142,2020-02-04 13:49:00
