volume,high,time,close,open,low
119850,154.0000,2020-03-09 13:34:00,153.6700,153.9600,153.6400
91231,154.2100,2020-03-09 13:33:00,153.9500,154.0900,153.9100
41577,154.2500,2020-03-09 13:32:00,154.0800,154.1300,154.0200
69650,154.3000,2020-03-09 13:31:00,154.1300,154.2900,154.1000
86599,154.6300,2020-03-09 13:30:00,154.2800,154.5050,154.2000
63949,154.7500,2020-03-09 13:29:00,154.5100,154.5800,154.4200
43673,154.5800,2020-03-09 13:28:00,154.5600,154.4500,154.3900
66634,154.6100,2020-03-09 13:27:00,154.4700,154.5895,154.3800
49186,154.8600,2020-03-09 13:26:00,154.5950,154.8300,154.5200
63472,154.8600,2020-03-09 13:25:00,154.7700,154.4300,154.4300
60812,154.6300,2020-03-09 13:24:00,154.4120,154.3765,154.2700
77238,154.5200,2020-03-09 13:23:00,154.3700,154.4091,154.1602
56451,154.6900,2020-03-09 13:22:00,154.3901,154.5600,154.3400
74893,154.8800,2020-03-09 13:21:00,154.5556,154.7600,154.4600
77902,154.9300,2020-03-09 13:20:00,154.7700,154.6500,154.5900
50514,154.9999,2020-03-09 13:19:00,154.6500,154.8550,154.6200
58310,155.1400,2020-03-09 13:18:00,154.8600,154.8701,154.7700
44293,155.3400,2020-03-09 13:17:00,154.9300,155.1900,154.8700
64254,155.2647,2020-03-09 13:16:00,155.2100,155.2647,154.8400
80114,155.2800,2020-03-09 13:15:00,155.2401,155.0300,154.8200
49576,155.2200,2020-03-09 13:14:00,155.0500,154.8300,154.6700
59762,155.0100,2020-03-09 13:13:00,154.8300,155.0000,154.7600
61275,155.1400,2020-03-09 13:12:00,155.0000,154.6699,154.6300
69518,154.8200,2020-03-09 13:11:00,154.6600,154.4000,154.3300
51698,154.8500,2020-03-09 13:10:00,154.4200,154.8500,154.4200
79287,155.0800,2020-03-09 13:09:00,154.9000,154.3900,154.3900
45693,154.3900,2020-03-09 13:08:00,154.3800,154.2520,154.2200
54499,154.4235,2020-03-09 13:07:00,154.2700,154.3900,154.1400
80993,154.8600,2020-03-09 13:06:00,154.4050,154.7000,154.2700
57820,155.4600,2020-03-09 13:05:00,154.7500,155.2009,154.7500
60760,155.6600,2020-03-09 13:04:00,155.1890,155.6100,155.1501
81230,155.6700,2020-03-09 13:03:00,155.6050,155.3450,155.1000
82882,155.5300,2020-03-09 13:02:00,155.4200,154.7400,154.7400
51753,155.0300,2020-03-09 13:01:00,154.7199,154.9800,154.5100
57301,155.0100,2020-03-09 13:00:00,154.9000,154.5700,154.5100
70958,154.7100,2020-03-09 12:59:00,154.5700,154.5900,154.4800
74591,154.9300,2020-03-09 12:58:00,154.6100,154.7197,154.5500
64610,155.2900,2020-03-09 12:57:00,154.7300,155.0900,154.7300
39133,155.1300,2020-03-09 12:56:00,155.1300,154.9300,154.7400
64273,155.1700,2020-03-09 12:55:00,154.9300,154.9500,154.6900
44094,155.0750,2020-03-09 12:54:00,154.9800,155.0600,154.7600
68565,155.2600,2020-03-09 12:53:00,155.0900,155.2500,154.9900
68038,155.3600,2020-03-09 12:52:00,155.2918,154.9200,154.6400
86161,155.0600,2020-03-09 12:51:00,154.9400,154.6900,154.5601
58883,154.8500,2020-03-09 12:50:00,154.6600,154.6300,154.3800
59771,154.6657,2020-03-09 12:49:00,154.5900,154.6000,154.3600
89811,154.7100,2020-03-09 12:48:00,154.5953,154.5601,154.3900
50593,154.8900,2020-03-09 12:47:00,154.5800,154.7850,154.5301
112126,155.1000,2020-03-09 12:46:00,154.8100,154.7500,154.6400
119775,155.0547,2020-03-09 12:45:00,154.7332,154.9800,154.4700
128006,155.3400,2020-03-09 12:44:00,155.0299,155.1200,154.9400
73905,155.4100,2020-03-09 12:43:00,155.1000,155.3900,155.1000
72645,155.8300,2020-03-09 12:42:00,155.4110,155.8199,155.2500
58923,155.9500,2020-03-09 12:41:00,155.8200,155.6000,155.5900
49347,155.7200,2020-03-09 12:40:00,155.5900,155.6400,155.5000
49175,155.8656,2020-03-09 12:39:00,155.6500,155.4500,155.3000
59789,155.7300,2020-03-09 12:38:00,155.4600,155.4300,155.2600
82945,155.4900,2020-03-09 12:37:00,155.4338,155.0100,155.0000
141315,155.8000,2020-03-09 12:36:00,155.0500,155.7600,155.0000
97549,155.8000,2020-03-09 12:35:00,155.7400,155.6200,155.4700
89068,155.9300,2020-03-09 12:34:00,155.6000,155.8400,155.5200
314340,156.4050,2020-03-09 12:33:00,155.8800,156.1300,155.8300
9030,156.1000,2020-03-09 12:30:00,156.0650,156.0200,155.9900
78182,156.1380,2020-03-09 12:29:00,156.0500,156.0900,155.8900
76280,156.2800,2020-03-09 12:28:00,156.0500,156.1200,155.9900
88393,156.3700,2020-03-09 12:27:00,156.1115,156.1600,155.9800
46475,156.4250,2020-03-09 12:26:00,156.1700,156.4100,156.1300
77320,156.5000,2020-03-09 12:25:00,156.4800,156.3901,156.1000
44258,156.7000,2020-03-09 12:24:00,156.4300,156.6200,156.3400
62441,156.7400,2020-03-09 12:23:00,156.6050,156.5800,156.4900
59099,156.5800,2020-03-09 12:22:00,156.5800,156.2900,156.0900
51623,156.4299,2020-03-09 12:21:00,156.2901,156.3500,156.0600
52473,156.3806,2020-03-09 12:20:00,156.3806,156.1100,156.0700
81909,156.5300,2020-03-09 12:19:00,156.1100,156.4300,156.0200
85346,156.8500,2020-03-09 12:18:00,156.4200,156.6800,156.4100
66918,156.8100,2020-03-09 12:17:00,156.6800,156.5600,156.4699
52352,156.9199,2020-03-09 12:16:00,156.5600,156.5500,156.3700
73818,156.7200,2020-03-09 12:15:00,156.5490,156.6100,156.4300
74369,157.0800,2020-03-09 12:14:00,156.6200,157.0800,156.5605
62049,157.1700,2020-03-09 12:13:00,157.0800,156.8400,156.7501
64736,157.2000,2020-03-09 12:12:00,156.8300,157.1400,156.8100
57736,157.2600,2020-03-09 12:11:00,157.1400,157.0670,157.0300
74994,157.3300,2020-03-09 12:10:00,157.0700,157.3100,156.9200
81259,157.3000,2020-03-09 12:09:00,157.3000,157.1500,157.0400
96645,157.2300,2020-03-09 12:08:00,157.1499,156.8300,156.7950
78160,156.8300,2020-03-09 12:07:00,156.8000,156.5000,156.3490
61805,156.6000,2020-03-09 12:06:00,156.5100,155.9900,155.9500
71532,156.0100,2020-03-09 12:05:00,156.0100,155.8500,155.7600
79439,156.0500,2020-03-09 12:04:00,155.8600,156.0200,155.7300
88426,156.2100,2020-03-09 12:03:00,156.0300,156.0100,155.8801
100917,156.5731,2020-03-09 12:02:00,155.9900,156.3200,155.9000
72726,156.5899,2020-03-09 12:01:00,156.3400,156.4900,156.1800
113894,156.8199,2020-03-09 12:00:00,156.4900,156.7200,156.4400
71774,156.8600,2020-03-09 11:59:00,156.7500,156.8400,156.5100
99129,156.8400,2020-03-09 11:58:00,156.8400,156.6200,156.4100
89788,156.7400,2020-03-09 11:57:00,156.5800,156.3200,156.2800
80104,156.8500,2020-03-09 11:56:00,156.3400,156.7250,156.2300
94941,156.7400,2020-03-09 11:55:00,156.7200,156.6339,156.3300
69436,156.9700,2020-03-09 11:54:00,156.6599,156.9504,156.5275
76132,157.0500,2020-03-09 11:53:00,156.9200,156.9200,156.6900
75498,157.2800,2020-03-09 11:52:00,156.9101,157.1700,156.9101
64692,157.2800,2020-03-09 11:51:00,157.1900,157.2470,157.0500
80635,157.4300,2020-03-09 11:50:00,157.2200,156.8800,156.8800
84649,157.2800,2020-03-09 11:49:00,156.8406,157.2800,156.8406
98472,157.3700,2020-03-09 11:48:00,157.2700,156.7800,156.7100
129230,157.1700,2020-03-09 11:47:00,156.7700,157.0350,156.6200
115240,157.0764,2020-03-09 11:46:00,157.0250,156.9100,156.6100
113484,156.9700,2020-03-09 11:45:00,156.8700,156.4700,156.0800
92522,156.7700,2020-03-09 11:44:00,156.4800,156.7400,156.1000
91815,156.9600,2020-03-09 11:43:00,156.6700,156.4100,156.1300
74486,156.6100,2020-03-09 11:42:00,156.4100,156.1500,156.1500
89387,156.6700,2020-03-09 11:41:00,156.1200,156.6100,156.0600
108049,156.7100,2020-03-09 11:40:00,156.5606,156.7100,156.1601
91076,157.0100,2020-03-09 11:39:00,156.6500,156.9199,156.4200
131701,157.0000,2020-03-09 11:38:00,156.9000,156.1100,156.1000
84608,156.5000,2020-03-09 11:37:00,156.1100,156.4800,156.0900
100943,156.5000,2020-03-09 11:36:00,156.4900,155.9400,155.7900
97778,156.1200,2020-03-09 11:35:00,156.0099,155.4400,155.4000
101626,155.6900,2020-03-09 11:34:00,155.4400,155.6350,155.1200
131980,155.7100,2020-03-09 11:33:00,155.5938,155.4050,155.3900
